Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Customer_Age_Months,Average_distance,Total_Bookings,Booking_Trend,Accumulation_Trend,Redemption_Trend,Seasonality_Index,Recency_Months,Behavioral_Churn,Hard_Churn,F_score,M_score,R_score,Segment,Customer_Segment
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,0.0,0.0,34,2271.875,37,0.35714285714285715,1.26,8.72,28.92,0.0,0,0,3,1,2,2,Active Regular Customers
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,0.0,Divorced,Star,3839.61,Standard,2016,3,0.0,0.0,33,3228.625,58,-0.09523809523809527,0.13,1.17,17.0,0.0,0,0,4,1,2,2,Active Regular Customers
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,0.0,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,53,1033.4583333333333,18,-0.5,-1.0,-0.95,1.67,11.0,1,1,1,1,1,3,Dormant Customers
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,0.0,Single,Star,3839.75,Standard,2013,2,0.0,0.0,70,2018.0,35,-0.3125,-0.55,0.47,2.92,0.0,0,0,3,1,2,2,Active Regular Customers
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,0.0,0.0,50,2313.125,37,0.8157894736842105,0.85,0.0,22.25,0.0,0,0,3,1,2,2,Active Regular Customers
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,0.0,0.0,79,2887.4166666666665,86,-0.2921348314606742,-0.52,0.29,51.0,0.0,1,0,4,1,2,2,Active Regular Customers
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,0.0,Single,Star,3857.95,Standard,2014,6,0.0,0.0,54,2541.9583333333335,40,0.08510638297872336,0.39,-0.99,4.67,0.0,0,0,3,1,2,2,Active Regular Customers
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,0.0,0.0,24,3035.375,41,-0.02040816326530613,-0.03,-0.98,20.92,2.0,1,0,3,1,1,2,Active Regular Customers
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,0.0,0.0,43,2040.3333333333333,27,-0.4418604651162791,-0.89,0.58,58.25,4.0,0,0,2,1,1,2,Active Regular Customers
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,0.0,0.0,26,2327.0416666666665,44,-0.1509433962264151,-0.15,-0.99,30.0,1.0,1,0,4,1,2,2,Active Regular Customers
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,0.0,0.0,45,3415.2083333333335,51,-0.18644067796610164,-0.42,-0.97,18.25,1.0,1,0,4,1,2,2,Active Regular Customers
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,0.0,0.0,30,2115.5416666666665,31,-0.07142857142857137,0.13,5.31,6.25,1.0,0,0,2,1,2,2,Active Regular Customers
611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,0.0,0.0,11,1603.1666666666667,26,1.3571428571428568,3.32,72.67,6.33,0.0,0,0,2,1,2,0,Occasional Flyers
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,0.0,Single,Star,3871.07,Standard,2013,10,0.0,0.0,62,3605.2916666666665,63,-0.2173913043478261,-0.31,1.23,28.25,0.0,0,0,4,1,2,2,Active Regular Customers
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,0.0,Single,Star,3872.22,Standard,2016,11,0.0,0.0,25,1490.375,26,0.16666666666666663,0.59,0.11,33.0,1.0,0,0,2,1,2,2,Active Regular Customers
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,0.0,0.0,28,2131.5833333333335,35,-0.3877551020408164,-0.55,-0.99,18.92,0.0,1,0,3,1,2,2,Active Regular Customers
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,0.0,0.0,24,1864.2083333333333,29,0.41666666666666663,0.46,1.16,2.92,0.0,0,0,2,1,2,2,Active Regular Customers
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,0.0,0.0,62,2807.4583333333335,52,0.07142857142857145,0.21,-0.97,48.0,0.0,1,0,4,1,2,2,Active Regular Customers
172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,0.0,Single,Aurora,5303.76,2018 Promotion,2018,3,0.0,0.0,9,3941.090909090909,40,0.9230769230769228,3.48,127.5,36.67,0.0,0,0,3,2,2,2,Active Regular Customers
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,0.0,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,50,1536.3333333333333,20,-0.5263157894736842,-1.0,0.0,10.67,13.0,1,1,1,1,1,3,Dormant Customers
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,0.0,Married,Star,3885.46,Standard,2015,7,0.0,0.0,41,2523.125,36,-0.25,-0.39,0.18,24.0,5.0,1,0,3,1,1,2,Active Regular Customers
552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,0.0,Married,Star,3885.46,Standard,2018,11,0.0,0.0,1,282.625,3,0.5,1130.5,0.0,2.25,0.0,0,0,1,1,2,0,Occasional Flyers
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,0.0,Married,Star,3885.46,Standard,2016,3,0.0,0.0,33,1964.125,33,-0.6470588235294118,-1.0,-0.99,18.25,6.0,1,0,2,1,1,2,Active Regular Customers
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,0.0,Single,Star,3886.5,Standard,2014,5,0.0,0.0,55,1598.9166666666667,29,-0.02500000000000001,-0.27,-0.95,15.58,0.0,1,0,2,1,2,2,Active Regular Customers
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,0.0,0.0,31,2787.875,44,0.16326530612244888,0.1,-0.99,7.33,0.0,1,0,4,1,2,2,Active Regular Customers
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,0.0,0.0,42,2171.25,32,-0.1818181818181818,-0.45,0.0,54.67,1.0,1,0,2,1,2,2,Active Regular Customers
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,0.0,0.0,26,2780.125,48,0.0,-0.2,151.83,12.67,1.0,0,0,4,1,2,2,Active Regular Customers
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,0.0,0.0,14,1327.8333333333333,22,0.7586206896551723,1.63,2.02,31.0,0.0,0,0,2,1,2,0,Occasional Flyers
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,0.0,0.0,65,2510.75,40,0.4651162790697675,0.33,0.0,4.67,0.0,0,0,3,1,2,2,Active Regular Customers
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,0.0,0.0,37,4250.375,58,-0.15624999999999994,-0.23,-0.99,8.33,0.0,1,0,4,1,2,2,Active Regular Customers
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,0.0,Married,Star,3891.58,Standard,2014,3,0.0,0.0,57,2518.2083333333335,42,0.7142857142857144,1.11,68.17,57.67,0.0,0,0,3,1,2,2,Active Regular Customers
201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,2015.0,12.0,44,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,,0,Occasional Flyers
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,0.0,0.0,14,887.0,19,0.9615384615384616,1.06,0.0,8.92,2.0,0,0,1,1,1,0,Occasional Flyers
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,0.0,0.0,73,3193.0416666666665,52,-0.13559322033898305,-0.22,0.17,35.33,1.0,1,0,4,1,2,2,Active Regular Customers
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,0.0,0.0,7,1110.6666666666667,14,1.1818181818181819,4.89,94.5,6.33,0.0,0,0,1,1,2,0,Occasional Flyers
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,0.0,0.0,19,1858.125,31,0.23076923076923073,0.02,1.81,14.25,1.0,0,0,2,1,2,2,Active Regular Customers
938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,0.0,Single,Aurora,5337.35,2018 Promotion,2018,4,0.0,0.0,8,4509.636363636364,38,3.1538461538461537,12.77,0.0,67.67,1.0,0,0,3,2,2,2,Active Regular Customers
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,0.0,0.0,67,3254.875,50,-0.30000000000000004,-0.54,-0.97,7.0,0.0,1,0,4,1,2,2,Active Regular Customers
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,0.0,Single,Star,3907.03,Standard,2012,5,0.0,0.0,79,3187.6666666666665,49,0.5624999999999999,1.47,0.0,36.92,0.0,0,0,4,1,2,2,Active Regular Customers
834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,2017.0,4.0,21,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,,0,Occasional Flyers
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,0.0,Single,Star,3914.72,Standard,2014,6,0.0,0.0,54,1564.4166666666667,29,-0.21428571428571427,-0.6,-0.97,6.25,2.0,1,0,2,1,1,2,Active Regular Customers
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,0.0,Single,Star,3914.72,Standard,2013,2,0.0,0.0,70,2190.2916666666665,34,-0.2173913043478261,-0.54,-0.97,6.33,0.0,1,0,2,1,2,2,Active Regular Customers
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,0.0,Single,Star,3915.8,Standard,2016,5,0.0,0.0,31,2250.75,28,0.0,0.09,89.5,12.67,1.0,0,0,2,1,2,2,Active Regular Customers
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,0.0,0.0,31,3368.8333333333335,56,0.21052631578947378,0.81,0.15,7.33,0.0,0,0,4,1,2,2,Active Regular Customers
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,0.0,0.0,27,2595.5,40,-0.08163265306122452,-0.18,0.5,15.33,4.0,0,0,3,1,1,2,Active Regular Customers
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,30,187.375,3,-0.14285714285714285,-1.0,0.0,2.25,23.0,1,1,1,1,1,3,Dormant Customers
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,0.0,0.0,6,499.1666666666667,9,1.5,1996.67,0.0,4.25,0.0,0,0,1,1,2,0,Occasional Flyers
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,0.0,0.0,7,749.5833333333334,18,1.727272727272727,12.88,0.0,33.0,1.0,0,0,1,1,2,0,Occasional Flyers
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,0.0,Married,Star,3920.51,Standard,2015,2,0.0,0.0,46,2033.1666666666667,35,-0.0666666666666667,-0.32,-0.97,13.58,0.0,1,0,3,1,2,2,Active Regular Customers
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,0.0,0.0,40,2392.625,36,-0.326530612244898,-0.51,-0.98,8.67,0.0,1,0,3,1,2,2,Active Regular Customers
