CLV,Total_Bookings,Average_distance,Recency_Months,Booking_Trend,Accumulation_Trend,Redemption_Trend,Seasonality_Index,Actual_Churn,Churn_Probability,Risk_Level,Customer_Segment,Recommended_Action
8672.19,24,1734.9166666666667,0.0,-0.3076923076923077,-0.37,-0.95,8.67,0,0.002830463,Low Risk,Active Regular Customers,No immediate action
5013.14,29,1596.4166666666667,8.0,-0.6170212765957447,-1.0,-0.98,14.25,0,0.8605242,High Risk,Dormant Customers,30% bonus miles + reactivation email
21172.39,54,3282.125,0.0,0.2545454545454547,0.76,-0.99,5.67,0,0.0029833552,Low Risk,Active Regular Customers,No immediate action
17771.55,3,229.91666666666666,0.0,0.5,919.67,0.0,0.92,0,0.00231444,Low Risk,Occasional Flyers,No immediate action
2734.51,37,2618.625,2.0,0.4634146341463416,1.54,-0.99,22.92,0,0.017421152,Low Risk,Active Regular Customers,No immediate action
5304.54,41,2317.875,0.0,0.06249999999999994,-0.01,0.94,12.92,0,0.0018499336,Low Risk,Active Regular Customers,No immediate action
49221.43,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.47304964,Medium Risk,Occasional Flyers,Double miles campaign
2880.35,43,2813.2083333333335,0.0,-0.058823529411764656,-0.06,0.91,78.25,0,0.011233195,Low Risk,Active Regular Customers,No immediate action
13450.96,37,2508.7083333333335,3.0,-0.4117647058823529,-0.66,-0.99,6.25,0,0.047181796,Low Risk,Active Regular Customers,No immediate action
4506.58,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.61384726,Medium Risk,Occasional Flyers,Double miles campaign
8624.92,45,3118.9583333333335,0.0,0.5000000000000001,0.54,-0.98,2.25,0,0.003547843,Low Risk,Active Regular Customers,No immediate action
2863.31,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5471998,Medium Risk,Occasional Flyers,Double miles campaign
3934.71,25,2023.7916666666667,1.0,-0.4146341463414634,-0.68,-0.98,7.58,0,0.00712558,Low Risk,Active Regular Customers,No immediate action
3567.5,43,2701.75,0.0,0.10204081632653057,0.3,1.56,16.25,0,0.0035277922,Low Risk,Active Regular Customers,No immediate action
6005.21,13,423.1666666666667,1.0,1.5499999999999998,24.33,0.0,8.92,0,0.007900741,Low Risk,Occasional Flyers,No immediate action
12779.06,51,3309.25,0.0,0.16666666666666666,-0.03,-0.96,4.92,0,0.0035064947,Low Risk,Active Regular Customers,No immediate action
11447.51,26,1524.7916666666667,0.0,-0.15384615384615385,-0.65,-0.99,1.67,0,0.0029320843,Low Risk,Active Regular Customers,No immediate action
9298.89,25,1374.7916666666667,0.0,0.5937499999999999,0.19,280.17,11.58,0,0.0012242893,Low Risk,Occasional Flyers,No immediate action
51337.91,4,365.0,0.0,0.6666666666666666,1460.0,0.0,4.0,0,0.002264389,Low Risk,Occasional Flyers,No immediate action
3964.73,46,2845.0416666666665,2.0,0.1176470588235294,0.75,0.0,11.67,0,0.017788328,Low Risk,Active Regular Customers,No immediate action
